"date","point_forecast","lower_80","upper_80","lower_95","upper_95"
2026-08-01,3426.71920311237,3167.07198178396,3686.36642444079,3029.62304547682,3823.81536074792
2026-09-01,3508.48783911566,3237.88911020119,3779.08656803012,3094.64279597118,3922.33288226013
2026-10-01,3371.51933301089,3081.0027903584,3662.03587566338,2927.21262244165,3815.82604358012
2026-11-01,3540.76651100707,3220.31778606479,3861.21523594934,3050.68247797658,4030.85054403755
2026-12-01,4166.2640385617,3805.94698268325,4526.58109444014,3615.20665505552,4717.32142206787
2027-01-01,3642.50485818665,3233.15783516857,4051.85188120473,3016.46261075419,4268.54710561911
2027-02-01,3817.7784640579,3351.2601512476,4284.29677686821,3104.30027416702,4531.25665394879
2027-03-01,4213.19592289415,3682.35360078956,4744.03824499874,3401.34265005883,5025.04919572947
2027-04-01,4195.48635839313,3594.01331088102,4796.95940590525,3275.61271265783,5115.36000412843
2027-05-01,4279.75347665812,3602.02916589055,4957.47778742569,3243.26358716453,5316.24336615172
2027-06-01,4508.15449425247,3749.1044617232,5267.20452678173,3347.28764642563,5669.02134207931
2027-07-01,4530.6719694874,3685.65593668384,5375.68800229096,3238.33146975099,5823.01246922381
