"Model","Training_MAE","Training_RMSE","MAE","RMSE","MAPE","MASE","sMAPE"
"Holt-Winters",133.182822897439,181.200991756354,311.732018092998,373.846064612287,10.7830652922225,0.516762844130029,11.5622105305543
"SARIMA",141.332385400123,188.943287850272,333.944137820281,424.799260358107,11.3182855553194,0.553584208308933,12.2576316631871
"Trend + season",146.398398398398,166.094157842078,513.033950617284,583.600700925481,18.0627947275411,0.850464078339109,20.2531027536178
"ETS",0.197626437478247,0.26967762057665,656.865597457265,804.3013466223,22.3111817963029,1.08889595759112,26.4342789241846
"Seasonal naive",603.24,664.333259742428,1068.83333333333,1102.61424200246,40.0717567795384,1.77182105519086,50.7090596774637
