"Model","Residual_n","Ljung_Box_lag","Ljung_Box_statistic","Ljung_Box_p_value"
"Seasonal naive",25,6,18.1228086344658,0.00593250837534365
"Trend + season",37,9,24.718282453082,0.0032991393046149
"Holt-Winters",25,6,1.87878887575237,0.930501850102633
"ETS",37,9,12.0304526497939,0.211597971084833
"SARIMA",37,9,6.37056480888747,0.702333706646115
