Model,Residual_n,Ljung_Box_lag,Fit_df,Ljung_Box_statistic,Ljung_Box_p_value,Residual_mean,Residual_sd,White_noise_at_5pct
SARIMA,240,24,2,30.6008672750089,0.104576530831338,0.0083122582714852,0.274793984790992,True
ETS,240,24,2,32.3260612102367,0.0720044784692857,0.0065340789582679,0.276262884747707,True
Basic structural model,228,24,3,31.418493959949068,0.0669696218753888,0.006842821469343713,0.3035157874229166,True
Holt-Winters,228,24,2,28.8523919935645,0.149123557146242,-0.0066393862111845,0.301787652155924,True
