"date","point_forecast","lower_80","upper_80","lower_95","upper_95"
2026-01-01,4.28536993577956,3.8881514579029,4.68258841365623,3.6778766974554,4.89286317410372
2026-02-01,4.8158090574276,4.40968679095696,5.22193132389825,4.19469864954169,5.43691946531352
2026-03-01,5.03546988798974,4.62894860553763,5.44199117044186,4.41374923782098,5.6571905381585
2026-04-01,4.9731374874641,4.56659812564621,5.37967684928198,4.35138918729145,5.59488578763674
2026-05-01,5.01162018461259,4.60508000321943,5.41816036600574,4.38987063100773,5.63336973821744
2026-06-01,4.81427845786933,4.4077382393223,5.22081867641636,4.19252884744252,5.43602806829614
2026-07-01,4.76399445175642,4.35745423152508,5.17053467198775,4.14224483875369,5.38574406475914
2026-08-01,4.7956769465467,4.38913672623901,5.20221716685438,4.17392733342719,5.4174265596662
2026-09-01,4.62832846468118,4.22178824437003,5.03486868499233,4.00657885155638,5.25007807780597
2026-10-01,5.0533430547172,4.6468028344059,5.45988327502851,4.43159344159217,5.67509266784224
2026-11-01,4.35278625908703,3.94624603877572,4.75932647939835,3.73103664596199,4.97453587221208
2026-12-01,4.12334599407766,3.71680577376635,4.52988621438898,3.50159638095262,4.74509560720271
