Model,Training_ME,Training_MSE,Training_RMSE,Training_MAE,Training_MPE,Training_MAPE,ME,MSE,RMSE,MAE,MPE,MAPE,Ljung_Box_p_value,White_noise_at_5pct,Nonnegative_test_forecasts,Eligible,Selected
SARIMA,0.0083122582714852,0.0752661954895618,0.27434685252352,0.204598620745614,-0.148298878511936,4.33767124539883,-0.045104737153946,0.0812267050272255,0.285002991260137,0.219763339780762,-1.21913198979775,4.62237173203652,0.104576530831338,True,True,True,True
ETS,0.0065340789582679,0.0760458707540865,0.275764157848852,0.21408995032115,-0.205751819130654,4.53922532230336,-0.0846585377634354,0.0868653980043533,0.294729364000863,0.235101495689649,-2.05456638354695,4.96733374751844,0.0720044784692857,True,True,True,False
Basic structural model,0.0068428214693437,0.0917646142924786,0.3029267474035244,0.2363603540082895,-0.2365815957829934,5.002891012559533,-0.0905998795825476,0.0870823493915314,0.295097186349737,0.237031247007676,-2.1817652427613266,5.014069237934141,0.0669696218753888,True,True,True,False
Holt-Winters,-0.0066393862111845,0.0907204132369333,0.301198295541215,0.232824944350835,-0.448989439717843,4.95443234687301,-0.103688771049361,0.0961862824250154,0.310139133978631,0.2463985603658,-2.45534210861403,5.22126344689479,0.149123557146242,True,True,True,False
