"Lag","ACF","PACF","Approximate_95pct_bound"
1,0.210662524567676,0.210662524567676,0.129804170992374
2,0.0473988113836549,0.00316036501497071,0.129804170992374
3,-0.00798297777947166,-0.0194664252214758,0.129804170992374
4,0.00748995164510616,0.0135295837952226,0.129804170992374
5,0.0381956589808769,0.036525576044685,0.129804170992374
6,0.00419161926917257,-0.012617356702403,0.129804170992374
7,-0.121459709155724,-0.127539930761156,0.129804170992374
8,0.0275574028621368,0.0854734059972115,0.129804170992374
9,0.0920394566538048,0.0817143158106509,0.129804170992374
10,-0.0820321584342245,-0.139208158324106,0.129804170992374
11,-0.0701914095816232,-0.0313421323085708,0.129804170992374
12,-0.445315470245816,-0.439103116758949,0.129804170992374
13,-0.203139319591755,-0.0355149798042868,0.129804170992374
14,0.0340539124082793,0.106091490248783,0.129804170992374
15,-0.061341661888688,-0.102359456312615,0.129804170992374
16,-0.0807486640122305,-0.0301091517923134,0.129804170992374
17,0.112502295332059,0.171500189345919,0.129804170992374
18,-0.0258484676588549,-0.103418107159731,0.129804170992374
19,-0.0612911594599108,-0.19225758521984,0.129804170992374
20,-0.0581456125174672,0.00968332817828302,0.129804170992374
21,-0.0978560448469712,0.0419278222573369,0.129804170992374
22,0.0406276230847798,-0.0594527389878876,0.129804170992374
23,0.0291582275041213,-0.0282088566451,0.129804170992374
24,-0.116440530285225,-0.339899343597741,0.129804170992374
25,0.0931657434564155,0.0649487717313765,0.129804170992374
26,-0.000764197792206367,0.00242214078242868,0.129804170992374
27,-0.000170391682904482,-0.0812737016185468,0.129804170992374
28,0.0303024141507142,-0.052742434891547,0.129804170992374
29,-0.0706699059364857,0.0964759856255121,0.129804170992374
30,0.0186064401931567,0.0119356273211762,0.129804170992374
31,0.196913932939861,-0.0346594771601182,0.129804170992374
32,0.149299017657563,0.146277518842433,0.129804170992374
33,0.0525441594166083,0.0255825669694508,0.129804170992374
34,0.0402392013522823,-0.0770706979933568,0.129804170992374
35,-0.119097583640925,-0.170558992475493,0.129804170992374
36,0.0470726540325648,-0.184224641797101,0.129804170992374
37,0.00882230278650058,0.0962648709245007,0.129804170992374
38,-0.0598271500368112,-0.00788515656107316,0.129804170992374
39,0.0613962711031048,-0.00525712546732063,0.129804170992374
40,0.050873941467225,-0.0266425423819307,0.129804170992374
41,-0.0600013498980733,-0.0305805371074438,0.129804170992374
42,-0.033127394030239,-0.0860585345875041,0.129804170992374
43,-0.0937310602719289,-0.015126466850949,0.129804170992374
44,-0.138774072931756,0.075213955438735,0.129804170992374
45,-0.0294628719845528,-0.00147507976802537,0.129804170992374
46,-0.0494671790762205,-0.0219178524525157,0.129804170992374
47,0.100192514035868,-0.0182747797241624,0.129804170992374
48,0.17078894472391,0.00415160773539959,0.129804170992374
