Model,Training_ME,Training_MSE,Training_RMSE,Training_MAE,Training_MPE,Training_MAPE,ME,MSE,RMSE,MAE,MPE,MAPE
SARIMA,0.0083122582714852,0.0752661954895618,0.27434685252352,0.204598620745614,-0.148298878511936,4.33767124539883,-0.045104737153946,0.0812267050272255,0.285002991260137,0.219763339780762,-1.21913198979775,4.62237173203652
ETS,0.0065340789582679,0.0760458707540865,0.275764157848852,0.21408995032115,-0.205751819130654,4.53922532230336,-0.0846585377634354,0.0868653980043533,0.294729364000863,0.235101495689649,-2.05456638354695,4.96733374751844
Basic structural model,0.006842821469343713,0.09176461429247866,0.3029267474035244,0.23636035400828953,-0.23658159578299345,5.002891012559533,-0.09059987958254766,0.08708234939153142,0.29509718634973703,0.237031247007676,-2.1817652427613266,5.014069237934141
Holt-Winters,-0.0066393862111845,0.0907204132369333,0.301198295541215,0.232824944350835,-0.448989439717843,4.95443234687301,-0.103688771049361,0.0961862824250154,0.310139133978631,0.2463985603658,-2.45534210861403,5.22126344689479
