"date","point_forecast","lower_80","upper_80","lower_95","upper_95"
2026-01-01,4.59512250290173,4.23393480734347,4.95631019845999,4.04273359090943,5.14751141489402
2026-02-01,5.15075991212642,4.78218829360567,5.51933153064718,4.58707826446885,5.71444155978399
2026-03-01,5.24800962656481,4.87913579109599,5.61688346203363,4.68386577797078,5.81215347515885
2026-04-01,5.11651206975018,4.74762573988062,5.48539839961974,4.55234911261919,5.68067502688117
2026-05-01,4.97425784267634,4.60537099604583,5.34314468930685,4.41009409522767,5.538421590125
2026-06-01,4.86328144234733,4.49439457434358,5.23216831035108,4.29911766221111,5.42744522248354
2026-07-01,4.79641209115236,4.42752522226568,5.16529896003903,4.23224830966582,5.36057587263889
2026-08-01,4.82786858594399,4.45898171704679,5.19675545484118,4.26370480444136,5.39203236744661
2026-09-01,4.70364960163752,4.33476273336845,5.0725364699066,4.13948582109552,5.26781338217952
2026-10-01,4.67249743123875,4.30361057819213,5.04138428428538,4.10833367397748,5.23666118850002
2026-11-01,4.38577769265,4.01689120765275,4.75466417764724,3.82161449827168,4.94994088702832
2026-12-01,4.19900536713285,3.83012778091733,4.56788295334837,3.63485578226675,4.76315495199895
